IP;MAC;Máscara;DATA;NomeDNS;TAG
10.37.3.103;10:05:01:98:8D:A6;255.255.255.0;2024-09-19 11:11:30;10.37.3.103;
10.37.3.82;70:85:C2:7D:D5:90;255.255.255.0;2024-09-19 11:11:30;EDPE3189903;
10.37.3.158;94:C6:91:C5:75:98;255.255.255.0;2024-09-19 11:11:30;EPCE3910088;
10.37.3.137;94:C6:91:C5:77:25;255.255.255.0;2024-09-19 11:11:30;10.37.3.137;
10.37.3.139;94:C6:91:C5:81:72;255.255.255.0;2024-09-19 11:11:30;EPCE3910085;
10.37.3.239;94:C6:91:C6:00:B6;255.255.255.0;2024-09-19 11:11:30;EDPE3939474;
10.37.1.216;10:05:01:98:8C:20;255.255.255.0;2024-09-19 11:18:16;10.37.1.216;
10.37.1.6;2E:03:56:DD:37:9D;255.255.255.0;2024-09-19 11:18:16;10.37.1.6;
10.37.44.240;08:00:23:C6:E6:CC;255.255.255.0;2024-09-19 08:51:38;10.37.44.240;
10.37.136.110;00:19:DB:8F:77:CE;255.255.255.0;2024-09-19 09:48:13;DEPPEN;
10.37.136.106;00:40:A7:2B:7C:B9;255.255.255.0;2024-09-19 09:48:13;DESKTOP-Q84MAEP;
10.37.76.20;D8:5E:D3:D0:6E:23;255.255.255.0;2024-09-18 12:19:59;PSICOLOGIA;
10.37.76.10;D8:5E:D3:D0:6A:9D;255.255.255.0;2024-09-19 08:37:16;DESKTOP-NSLKJH9;
10.37.12.233;0A:E0:AF:CB:31:E9;255.255.255.0;2024-09-19 10:19:55;DESKTOP-T0GC7T4;
10.37.12.138;8C:0F:6F:73:25:F6;255.255.255.0;2024-09-19 10:19:55;10.37.12.138;
10.37.77.66;84:47:09:31:39:4A;255.255.255.0;2024-09-19 11:23:08;NDPE4065522;
10.37.77.73;94:C6:91:C5:77:49;255.255.255.0;2024-09-18 15:11:44;10.37.77.73;
10.37.119.5;20:CF:30:E1:C8:AF;255.255.255.0;2024-09-19 09:25:35;SDPE1438937;
10.37.52.55;78:2B:CB:86:AE:EA;255.255.255.0;2024-09-19 10:52:41;DESKTOP-J8M7BRB;
10.37.26.233;00:30:67:99:10:C1;255.255.255.0;2024-09-19 07:55:29;PC-PC;
10.37.95.31;10:05:01:98:8D:0D;255.255.255.0;2024-09-19 08:22:52;DESKTOP-KFPKRH2;
10.37.11.2;00:30:67:99:0E:59;255.255.255.0;2024-09-18 14:48:39;EDPE1146184;
